Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.22.22 | Hallgatták pedig őt eddig a szóig, de most felemelték hangjukat és ezt mondták: Töröld el a föld színéről az ilyent, mert nem szabad neki élnie.
Acts.22.23 | Mivel pedig kiáltoztak, ruhájukat elhányták és port szórtak a levegőbe,
Acts.22.24 | az ezredes megparancsolta, hogy vigyék a várba, és meghagyta, hogy korbácsütésekkel vallassák ki őt, hadd tudja meg, miért kiáltoztak úgy ellene.
Acts.22.25 | Mikor pedig lekötötték szíjakkal, így szólt Pál az ott álló századosnak: vajjon szabad nektek megkorbácsolnotok egy római polgárt, akit még nem ítéltek el?
Acts.22.26 | Miután pedig ezt meghallotta a százados, elment az ezredeshez és ezt jelentette neki: Mit akarsz tenni? Ez az ember ugyanis római polgár.
Acts.22.27 | Ekkor az ezredes odament hozzá és ezt mondta neki: Mondd meg nekem, hogy csakugyan római polgár vagy? Ő pedig szólt: Az.
Acts.22.28 | Az ezredes így felelt: Én nagy összegért vásároltam meg a polgárjogot. Pál pedig azt mondta: Én meg benne is születtem.
Acts.22.29 | Ekkor nyomban ott hagyták, akik vallatni akarták. Sőt az ezredes is megijedt, mikor megtudta, hogy római polgár és mégis megkötöztette.
Acts.22.30 | Másnap pedig bizonyosat akart tudni, hogy mivel vádolják a zsidók, feloldoztatta tehát bilincseiből és megparancsolta, hogy a papi fejedelmek az egész tanáccsal együtt üljenek össze. Ekkor Pált lehozatta és eléjük állította.

Acts.23.1 | Ekkor Pál végigtekintett a tanácson és így szólt: Atyámfiai, férfiak, én teljes jó lelkiismerettel szolgáltam az Istennek mind e mai napig.
Acts.23.2 | Anániás pedig, a főpap, megparancsolta azoknak, akik mellette álltak, hogy üssék szájon.
Acts.23.3 | Akkor Pál így szólt neki: Megver téged az Isten, te meszelt fal! Itt ülsz, hogy ítélj felettem a törvény szerint és törvényellenesen azt parancsolod, hogy engem verjenek?
Acts.23.4 | Az ott állók pedig így szóltak: Az Isten főpapját szidalmazod?
Acts.23.5 | Pál erre azt mondta: Nem tudtam, atyámfiai, hogy főpap. Mert meg van írva: A te népednek fejedelmét ne átkozd!
Acts.23.6 | Mivel pedig Pál tudta, hogy egyik részük a szadduceusok, másik pedig a farizeusok közül való, így kiáltott a tanács előtt. Atyámfiai férfiak, én farizeus vagyok, farizeusnak a fia a halottak feltámadásának reménysége miatt vádolnak engem.
Acts.23.7 | Mihelyt pedig ezt mondta: meghasonlás támadt a farizeusok és szadduceusok között és a gyűlés megoszlott.
Acts.23.8 | Mert a szadduceusok azt állítják, hogy nincs feltámadás, sem angyal, sem lélek, a farizeusok ellenben mind a kettőt vallják.
Acts.23.9 | Nagy kiáltozás támadt tehát és a farizeuspárti írástudók közül némelyek felálltak és heves vitatkozásban ezt mondták: Semmi rosszat sem találunk ebben az emberben. Hátha Lélek szólt neki vagy angyal? (A 9. vers végén egyes kéziratokban még ez olvasható: Ne tusakodjunk Isten ellen.)
Acts.23.10 | És mivel nagy meghasonlás támadt, az ezredes attól félve, hogy Pált szétszaggatják, megparancsolta hogy a csapat jöjjön le, ragadja ki közülük és vigye a várba.
Acts.23.11 | A következő éjtszka pedig az Úr odaállt mellé és ezt mondta: Bízzál, mert amint Jeruzsálemben bizonyságot tettél az én ügyem mellett, úgy kell neked bizonyságot tenned Rómában is.
Acts.23.12 | Másnap pedig a zsidók összeálltak, átok alatt megfogadták egymásnak, hogy sem nem esznek, sem nem isznak addig, amíg Pált meg nem ölik.
Acts.23.13 | Többen voltak pedig negyvennél, akik ezt az összeesküvést szőtték.
Acts.23.14 | Ezek elmentek a papi fejedelmekhez és vénekhez, és ezt mondták: Átok alatt köteleztük magunkat, hogy semmit sem ízlelünk addig, amíg Pált meg nem öljük,
Acts.23.15 | Most azért a tanáccsal együtt javasoljátok az ezredesnek, hogy holnap hozza le hozzátok, mintha az ügyét alaposabban akarnátok megvizsgálni. Mi pedig készek vagyunk megölni őt, mielőtt ideér.
Acts.23.16 | Pál nőtestvérének fia azonban meghallotta ezt a cselvetést, elment és amint bejutott a várba, tudtára adta Pálnak.
Acts.23.17 | Pál pedig az egyik századost magához hivatta és ezt mondta: Vezesd az ezredeshez ezt az ifjút, mert jelenteni akar neki valamit.
Acts.23.18 | "Az tehát maga mellé vette őt, elvitte az ezredeshez és azt mondta: A fogoly Pál magához; hívatott engem, hogy ezt az ifjút vezessem hozzád, mert mondani akar neked valamit,"
Acts.23.19 | Az ezredes pedig kézenfogta, félrevonult vele és tudakolta: Mi az, amit nekem jelenteni akarsz?
Acts.23.20 | Az pedig szólt: A zsidók elhatározták, hogy megkérnek téged, hozasd le Pált holnap a tanács elé, mintha alaposabban meg akarnák vizsgálni az ügyét.
Acts.23.21 | De te ne engedj nekik, mert közülök több mint negyven férfi les rá, akik átokkal kötelezték magukat, hogy addig sem nem esznek, sem nem isznak, amíg meg nem ölik. Már készen is vannak és várják az üzenetedet.
Acts.23.22 | Akkor az ezredes elbocsátotta az ifjút és meghagyta neki: Senkinek se szólj arról, hogy ezeket jelentetted nekem.
Acts.23.23 | "Ezután magához hívatott kettőt a századosok közül és így szólt: Készítsetek fel kétszáz katonát, hogy induljanak Cézáreába, és hetven lovast meg kétszáz dárdást az éjszaka harmadik órájától fogva;"
Acts.23.24 | és adjanak melléjük nyerges állatokat is. hogy Pált felültetve, biztonságban vigyék Félix helytartóhoz.
Acts.23.25 | Levelet is írt, amelynek tartalma ez volt:
Acts.23.26 | Klaudius Liziás a nemes helytartónak, Félixnek üdvözletét küldi.
Acts.23.27 | Ezt a férfiút a zsidók elfogták és meg akarták ölni, de odamenve csapatommal, kiszabadítottam, mivel megtudtam, hogy római polgár.
Acts.23.28 | Amikor pedig meg akartam tudni, mivel vádolják, levitettem a tanácsuk elé
Acts.23.29 | és úgy találtam, hogy az ő törvényük vitás kérdései felől vádolják, de semmi halált vagy fogságot érdemlő vád nincs ellene.
Acts.23.30 | Minthogy pedig jelentették nekem, hogy a zsidók e férfiú ellen merényletet akarnak elkövetni, azonnal hozzád küldtem őt, meghagyva vádlóinak is, hogy ami panaszuk van ellene, előtted mondják el. Légy jó egészségben!
Acts.23.31 | A katonák tehát, amint megparancsolták nekik, magukhoz vették Pált és elvitték azon az éjtszakán Antipatrisba.
Acts.23.32 | Másnap pedig a lovasok kíséretében tovább küldték őt, és visszatértek a várba.
Acts.23.33 | Amazok pedig Cézáreába érve átadták a levelet a helytartónak, és Pált is eléje állították.
Acts.23.34 | Mikor pedig a helytartó a levelet elolvasta, megkérdezte, melyik tartományból való és mikor megtudta, hogy Ciliciából,
Acts.23.35 | azt mondta: Majd akkor hallgatlak ki, ha vádlóid is megérkeznek. És megparancsolta, hogy Heródes palotájában őrizzék.

Acts.24.1 | Öt nap múlva azután lement Anániás főpap a vének közül néhánnyal és egy Tertulus nevű ügyvéddel és panaszt tettek a helytartónál Pál ellen.
Acts.24.2 | Mikor pedig őt előhívták, Tertulus vádolni kezdte:
Acts.24.3 | Nemes Félix, hogy általad nagy békességhez jutottunk és gondoskodásod folytán helyes intézkedések történtek e nép érdekében, ezt mi minden tekintetben és mindenütt teljes hálával ismerjük el.
Acts.24.4 | De hogy sokáig ne tartóztassalak, kérlek, hallgass meg röviden minket a te kegyes jó indulatod szerint.
Acts.24.5 | Mi ugyanis úgy találtuk, hogy ez az ember maga a pestis és meghasonlást támaszt a földkerekségen levő valamennyi zsidó között és feje a názáretiek eretnekségének.
Acts.24.6 | A templomot is be akarta szennyezni, de elfogtuk és a mi törvényünk szerint akartuk őt megítélni,
Acts.24.7 | Liziás ezredes azonban odajött és erőszakkal kivette a kezünkből.
Acts.24.8 | És azt parancsolta, hogy vádlói hozzád jöjjenek. Ha kihallgatod őt, magad is meggyőződhetsz mindezekről, amikkel vádoljuk.
Acts.24.9 | E vádhoz csatlakoztak a zsidók is és erősítgették, hogy valóban így van.
Acts.24.10 | Amikor a helytartó intett Pálnak, hogy beszéljen, ő így felelt: Mivel tudom, hogy te sok esztendő óta bírája vagy ennek a népnek, nagyobb bátorsággal védekezem a magam ügyében.
Acts.24.11 | Mert megtudhatod, hogy nincs tizenkét napjánál több, amióta feljöttem Jeruzsálembe imádkozni.
Acts.24.12 | És a templomban sem találtak engem, hogy bárkivel vitatkoztam volna, vagy hogy a népet lázítottam volna, sem a zsinagógákban, sem a városban.
Acts.24.13 | Azt sem bizonyíthatják rám, amivel most vádolnak.
Acts.24.14 | Azt azonban megvallom neked, hogy én ama tanítás szerint, amelyet ők eretnekségnek mondanak, úgy szolgálok az én atyáim Istenének, mint aki hiszek mindabban, ami a törvényben és a prófétákban meg van írva.
Acts.24.15 | Reménységem van ugyanis az Istenben, hogy — amit ezek maguk is várnak, — lesz feltámadásuk mind az igazaknak, mind a hamisaknak.
Acts.24.16 | Abban gyakorlom pedig magamat, hogy botránkozás nélkül való lelkiismeretem legyen az Isten és emberek előtt mindenkor.
Acts.24.17 | Sok esztendő múlva pedig eljöttem, hogy az én népemnek alamizsnát és áldozatokat hozzak.
Acts.24.18 | Eközben és amikor a tisztulási fogadalmat teljesítettem, nem pedig csődületben, sem nem lázadásban talált rám a templomban
Acts.24.19 | néhány ázsiai zsidó, akiknek ide kellett volna jönniük eléd és itt vádolni, ha valami panaszuk van ellenem.
Acts.24.20 | Vagy mondják meg ezek maguk, vajjon találtak-e bennem valami törvényellenes cselekedetet, mikor a tanács előtt álltam,
Acts.24.21 | hacsak ez egyetlen szó tekintetében nem, amelyet közöttük állva kiáltottam: A halottak feltámadása miatt állok most vádlottként előttetek.
Acts.24.22 | De Félix elhalasztotta ügyüket, mivel pontos tudomása volt erről a tanításról és azt mondta: Mikor Liziás ezredes lejön, akkor fogok dönteni ügyetekben.
Acts.24.23 | És megparancsolta a századosnak, hogy Pált őrizzék, de enyhébb fogságban legyen és hozzátartozói közül senkit se tiltsanak el attól, hogy szolgáljon neki.
Acts.24.24 | Néhány nap múlva pedig Félix megjelent feleségével, Druzillával, aki zsidó származású volt, maga elé hívatta Pált és meghallgatta őt a Krisztusban való hit felől.
Acts.24.25 | De mikor az igazságról, az önmegtartóztatásról és a jövendő ítéletről kezdett beszélni, Félix megrémülve, ezt mondta: Most menj el, de mikor alkalmam lesz, magamhoz hívatlak.
Acts.24.26 | Egyszersmind pedig azt is remélte, hogy Pál pénzt ad neki. Ezért gyakrabban magához hivatta és elbeszélgetett vele. (A 26. versben egyes kéziratok az első mondat végén hozzáteszik: hogy őt szabadon bocsássa)
Acts.24.27 | Két esztendő múlva Porcius Fesztus lett Félix utóda. Félix pedig fogságban hagyta Pált, hogy a zsidók kedvében járjon.

Acts.25.1 | Miután Fesztus megérkezett a tartományába, három nap múlva Cézáreából felment Jeruzsálembe.
Acts.25.2 | Panaszt tettek pedig előtte a papi fejedelmek és a zsidók főemberei Pál ellen és sürgették,
Acts.25.3 | maguknak azt a kedvezést kérve Pál kárára, hogy hozassa őt Jeruzsálembe, mert lest akartak neki vetni, hogy megölhessék az úton.
Acts.25.4 | Fesztus azonban azt felelte, hogy Pált Cézáreában őrzik, ő maga pedig hamarosan odautazik.
Acts.25.5 | Akik azért köztetek — úgymond — főemberek, jöjjenek le velem és ha van valami gonoszság abban az emberben, emeljenek vádat ellene.
Acts.25.6 | "Miután pedig legfeljebb nyolc vagy tíz napig időzött közöttük, lement Cézáreába; és másnap bírói székbe ült és Pált előhozatta."
Acts.25.7 | Mikor pedig az megjelent, a Jeruzsálemből leutazott zsidók körülállották és sok súlyos vádat emeltek ellene, amelyeket azonban nem tudtak bizonyítani,
Acts.25.8 | mivel Pál a maga védelmére ezt felelte: Sem a zsidók törvénye, sem a templom, sem a császár ellen semmit sem vétettem.
Acts.25.9 | Fesztus azonban a zsidóknak kedveskedni akart és feleletképen azt mondta Pálnak: Akarsz-e Jeruzsálembe felmenni, hogy ebben az ügyben ott ítélkezzem feletted?
Acts.25.10 | "Pál azonban azt mondta: A császár ítélőszéke előtt állok; itt kell megítéltetnem. A zsidók ellen semmit sem vétettem, amint te magad is jól tudod."
Acts.25.11 | Mert ha vétkes vagyok, és ha valami halált érdemlőt cselekedtem, nem vonakodom a haláltól. Ha azonban alaptalanok azok, amikkel ezek vádolnak engem, senki engem barátságért kezökbe nem adhat. A császárhoz fellebbezek.
Acts.25.12 | Ekkor Fesztus miután tanácsával értekezett, így felelt: A császárhoz fellebbeztél, a császár elé fogsz menni.
Acts.25.13 | Néhány nap múlva pedig Agrippa király és Bernicé érkezett Cézáreába, hogy köszöntsék Fesztust.
Acts.25.14 | Mikor pedig több napig időztek ott, Fesztus a király előtt szóba hozta Pál ügyét: Van itt egy férfiú, akit Félix hagyott foglyul.
Acts.25.15 | Mikor Jeruzsálembe mentem, a papi fejedelmek és a zsidók vénei panaszt tettek ellene, kérték az elítéltetését.
Acts.25.16 | Ezeknek én azt feleltem, hogy rómaiaknak nem szokásuk bárkit is kiszolgáltatni, míg a vádlottat vádlóival nem szembesítik s így alkalmat nem nyer arra, hogy a vád ellen védekezzék.
Acts.25.17 | Mikor tehát idegyűltek, másnap haladék nélkül az ítélőszékbe ültem és elővezettettem azt a férfiút.
Acts.25.18 | Ám vádlói mikor előállottak, semmi bűnt sem hoztak fel ellene azok közül, amiket én sejtettem,
Acts.25.19 | hanem holmi vitás kérdéseik voltak vele, az ő tulajdon babonájuk felől és bizonyos meghalt Jézus felől, akiről Pál azt állította, hogy él.
Acts.25.20 | Mivel pedig nem tudtam eligazodni ezekben a vitás kérdésekben, megkérdeztem, vajjon akar-e Jeruzsálembe menni, hogy ott ítéltessék meg ezekben.
Acts.25.21 | Mikor pedig Pál fellebbezett és azt kívánta, hogy tartsák fogva a császár döntéséig, parancsot adtam, hogy őrizzék, amíg a császárhoz küldhetem.
Acts.25.22 | Agrippa pedig így szólt Fesztusnak: Magam is szeretném hallani ezt az embert. Ő pedig így felelt: Holnap hallani fogod.
Acts.25.23 | Másnap tehát Agrippa és Bernicé nagy pompával jelent meg és miután bementek a kihallgatási terembe az ezredesekkel és a város főembereivel együtt, Fesztus parancsára előhozták Pált.
Acts.25.24 | És szólt Fesztus: Agrippa király és ti férfiak mindnyájan, akik velünk együtt itt vagytok! Látjátok ezt az embert, aki miatt az egész zsidóság Jeruzsálemben is, itt is megkeresett engem, azt kiáltozva, hogy ennek nem szabad tovább élnie.
Acts.25.25 | Én pedig, bár úgy találtam, hogy semmi halált érdemlőt nem cselekedett, de mivel éppen ő maga a császárhoz fellebbezett, úgy döntöttem, hogy elküldöm őt.
Acts.25.26 | Felőle semmi bizonyost nem tudok írni az én uramnak. Ezért hozattam elétek és kiváltképpen eléd, Agrippa király, hogy a kihallgatás megtörténtével tudjak mit írni.
Acts.25.27 | Értelmetlen dolognak látszik ugyanis előttem, ha valaki úgy küld foglyot, hogy egyúttal az ellene emelt vádat is nem jelenti

Acts.26.1 | Agrippa pedig így szólt Pálhoz: Megengedjük neked, hogy szólj a magad mentségére. Ekkor Pál kinyújtotta kezét és ekként védekezett:
Acts.26.2 | Boldognak tartom magamat, Agrippa király, hogy mindarra nézve, amivel a zsidók vádolnak engem, előtted védekezhetem a mai napon,
Acts.26.3 | mert te nagyon jól ismered a zsidók minden szokását és vitás kérdéseit. Azért kérlek, hallgass meg engem türelmesen.
Acts.26.4 | Életemet, amely kezdetétől az én népem között Jeruzsálemben folyt le, ifjúságomtól fogva ismerik a zsidók mindnyájan.
Acts.26.5 | Ők tudják rólam eleitől fogva — ha bizonyságot akarnak tenni —, hogy én mint farizeus a mi vallásunk legszigorúbb pártja szerint éltem.
Acts.26.6 | Most is ama reménység miatt állok itt bírói eljárás alatt, melyet Isten az ígéretben adott atyáinknak,
Acts.26.7 | amelyre a mi tizenkét törzsünk Istent éjjel-nappal buzgón szolgálva, reméli, hogy eljut: ezért a reménységért vádolnak engem a zsidók, Agrippa király.
Acts.26.8 | Miért látszik előttetek hihetetlennek, hogy az Isten halottakat támaszt fel?
Acts.26.9 | Egykor én is úgy véltem, hogy ama názáreti Jézus neve ellen sok ellenséges dolgot kell cselekednem.
Acts.26.10 | Meg is cselekedtem Jeruzsálemben, és a szentek közül sokat börtönbe vetettem, miután erre a papi fejedelmektől meghatalmazást nyertem. Sőt mikor megölték őket, szavazatommal hozzájárultam,
Acts.26.11 | És minden zsinagógában gyakori büntetéssel igyekeztem őket káromlásra kényszeríteni, szerfelett dühöngtem ellenük és egészen az idegen városokig üldöztem őket.
Acts.26.12 | Mikor ez ügyben éppen úton voltam Damaskus felé a papi fejedelmektől vett meghatalmazással és engedéllyel,
Acts.26.13 | déltájban az úton úgy láttam, óh király, hogy a mennyből napfénynél is ragyogóbb világosság sugároz körül engem és útitársaimat.
Acts.26.14 | Mikor pedig mi mindnyájan földre estünk, szót hallottam, amely hozzám szólott és ezt mondta héber nyelven: Saul, Saul, miért üldözöl engem? Nehéz neked az ösztöke ellen rugódoznod.
Acts.26.15 | Én pedig szóltam: Kicsoda vagy, Uram? Az Úr pedig ezt mondta: Én vagyok Jézus, akit te üldözöl.
Acts.26.16 | De kelj fel, és állj lábadra, mert azért jelentem meg néked, hogy szolgává és tanúvá rendeljelek mind arra nézve, amit láttál, mind azokra nézve, amiket majd később jelentek meg neked.
Acts.26.17 | Mert megszabadítalak téged a néptől és a pogányoktól, akik közé most küldelek,
Acts.26.18 | hogy megnyisd szemüket, hogy sötétségből világosságra és a Sátán hatalmából az Istenhez térjenek, hogy bűneik bocsánatát vegyék és osztályrészt azok között, akik megszenteltettek a bennem való hit által.
Acts.26.19 | Azért, Agrippa király, nem lettem engedetlen a mennyei látomás iránt,
Acts.26.20 | hanem először a damaskusiaknak és jeruzsálemieknek, majd Júdea egész tartományában és a pogányoknak hirdettem, hogy bánják meg bűneiket, térjenek meg az Istenhez, és cselekedjenek megtéréshez méltó cselekedeteket.
Acts.26.21 | Ezért fogtak el engem a zsidók a templomban és akartak megölni.
Acts.26.22 | De mivel Isten megsegített mind e mai napig, itt állok és tanúbizonyságot teszek mind kicsinynek, mind nagynak, és semmit sem mondok azokon kívül, amikről mind a próféták, mind Mózes hirdették, hogy be fognak teljesedni:
Acts.26.23 | hogy Krisztusnak szenvednie kell, és hogy mint a halottak feltámadásából az első, világosságot fog hirdetni e népnek és a pogányoknak.
Acts.26.24 | "Mikor pedig ezeket mondta a maga mentségére, Fesztus hangosan így kiáltott: Bolond vagy te, Pál; a sok tudomány őrültségbe visz."
Acts.26.25 | Ő pedig válaszolt: Nem vagyok bolond, nemes Fesztus, hanem igaz és józan beszédeket hirdetek.
Acts.26.26 | Mert tud ezekről a király, akihez nyílt bátorsággal is szólok, mert éppen nem gondolom, hogy ezek közül ő előtte bármi is ismeretlen volna, hiszen nem valami zugban történt dolog ez.
Acts.26.27 | Hiszel-e, Agrippa király, a prófétáknak? Tudom, hogy hiszel.
Acts.26.28 | Agrippa pedig így felelt Pálnak: Előbb-utóbb rábeszélsz engem, hogy keresztyénné legyek.
Acts.26.29 | Pál pedig ezt mondta: Kívánnám Istentől, hogy akár előbb, akár utóbb ne csak te, hanem mindazok is, akik ma engem hallgatnak, olyanok lennétek, amilyen én is vagyok, e bilincsek nélkül.
Acts.26.30 | Ezután felkelt a király, a helytartó, Bernicé és akik velük együtt ültek,
Acts.26.31 | és távozóban így beszélgettek egymás között: Semmi halált vagy fogságot érdemlő dolgot nem cselekszik ez az ember.
Acts.26.32 | Agrippa pedig így szólt Fesztusnak: Ezt az embert szabadon lehetett volna bocsátani, ha nem fellebbezett volna a császárhoz.

Acts.27.1 | Mikor pedig úgy határoztak, hogy mi Itáliába hajózunk, mind Pált, mind a többi foglyot átadták a császári csapatból való Július nevű századosnak.
Acts.27.2 | Azután felszálltunk egy adramittiumi hajóra, amely az ázsiai partvidék helyeit, akarta behajózni és útnak indultunk a macedóniai Arisztarkus kíséretében, aki thessalonikai volt.
Acts.27.3 | Másnap megérkeztünk Szidonba. És mivel Július emberségesen bánt Pállal, megengedte, hogy elmenjen barátaihoz és azok gondoskodjanak róla.
Acts.27.4 | És onnan elindulva, Ciprus alatt hajóztunk el, mivel a szelek ellenkező irányúak voltak.
Acts.27.5 | Majd Cilicia és Pamfilia partjai mellett elhajózva, eljutottunk a liciai Mirába.
Acts.27.6 | És mivel ott a százados egy Itáliába menő alexandriai hajót talált, abba szállított be minket.
Acts.27.7 | Több napi lassú hajózás után nagynehezen értük el Knidust, de mivel ott a szél nem engedett partra jutni, elhajóztunk Kréta alatt, Szalmóne mellett.
Acts.27.8 | És miután nagy üggyel-bajjal elhajóztunk mellette, eljutottunk egy helyre, amelyet Szépkikötőnek neveznek, amelyhez közel van Lázea városa.
Acts.27.9 | Mivel pedig sok idő múlt el és a hajózás már veszedelmessé vált, hiszen a böjtnap is elmúlt már, Pál intette őket:
Acts.27.10 | Férfiak, látom, hogy a hajóút folytatása nemcsak a rakományban okozhat nagy kárt, hanem életünket is veszélyezteti.
Acts.27.11 | De a százados inkább hitt a kormányos mesternek és hajótulajdonosnak, mint annak, amit Pál mondott.
Acts.27.12 | Mivel pedig a kikötő telelésre nem volt alkalmas, a többség úgy határozott, hogy onnan is tovább kell hajózni, hogy valami módon eljussunk Fénixbe, Kréta kikötőjébe, amely délnyugat és északnyugat felé néz és ott telelhessünk ki.
Acts.27.13 | Mivel pedig déli szél kezdett lassan fújni, elindultak abban a hiszemben, hogy feltett szándékukat véghezvihetik és Kréta közelében hajóztak tovább.
Acts.27.14 | Nemsokára azonban a sziget felől viharos szél csapott le, amelyet „északkeleti”-nek neveznek.
Acts.27.15 | Mivel pedig a hajót magával ragadta a szél és nem bírt azzal szemben haladni, neki eresztettük, hadd sodorjon tova.
Acts.27.16 | És befutva egy kis sziget alá, amelyet Klaudának hívnak, csak nagy nehezen tudtuk biztosítani a mentőcsónakot.
Acts.27.17 | Miután azt felvonták, védekezni kezdtek: alul kötelekkel kötötték át a hajót és mivel féltek, hogy zátonyra futnak, a vitorlát leeresztették és úgy vitették magukat.
Acts.27.18 | Minthogy pedig a szélvész hányt-vetett bennünket, másnap kidobálták a hajóterhet.
Acts.27.19 | És harmadnap saját kezükkel dobálták ki a hajó felszerelését.
Acts.27.20 | Mivel pedig több napon át sem a nap, sem a csillagok nem látszottak, és nem kis vihar szorongatott minket, végre minden reménységünk elveszett életben maradásunk felől.
Acts.27.21 | Mikor azután már sokat éheztünk, Pál felállt köztünk, és így szólt: Bár engedelmeskednetek kellett volna nekem, férfiak, és nem lett volna szabad el indulnunk Krétából, hogy elkerüljük ezt a bajt és kárt,
Acts.27.22 | de mostanra nézve is intelek titeket, hogy legyetek jó reménységben, mert senki sem vész el közületek, csak a hajó.
Acts.27.23 | Mert ma éjjel mellém állott annak az Istennek angyala, akié vagyok, akinek szolgálok is
Acts.27.24 | és ezt mondta: Ne félj, Pál, neked a császár elé kell állanod. És íme az Isten ajándékba adta neked mindazokat, akik veled hajóznak.
Acts.27.25 | Ezért immár legyetek jó reménységben, férfiak! Mert hiszek az Istenben, hogy úgy lesz, amint nekem megmondotta.
Acts.27.26 | Valami szigetre kell kivetődnünk.
Acts.27.27 | Mikor pedig eljött a tizennegyedik éjtszaka, amint idestova hányódtunk az Adrián, éjféltájban a hajósok azt vették észre, hogy valami szárazföldhöz közelednek.
Acts.27.28 | És lebocsátva a mérőónt, húsz ölnyinek találták a mélységet. Majd kevéssel tovább haladtak és ismét lebocsátva a mérőónt tizenöt ölnyinek találták.
Acts.27.29 | És mivel féltek, hogy esetleg szirtes helyre vetődünk, a hajó farából négy horgonyt dobtak ki, alig várva, hogy nappal legyen.
Acts.27.30 | Ekkor a hajósok el akartak menekülni a hajóról és a mentőcsónakot a tengerre bocsátották azzal az ürüggyel, hogy a hajó orrából horgonyokat akarnak vetni.
Acts.27.31 | De Pál így szólt a századoshoz és a katonákhoz: Ha ezek nem maradnak a hajóban, akkor ti sem menekülhettek meg.
Acts.27.32 | Ekkor a katonák elvágták a csónak köteleit és az ár elsodorta.
Acts.27.33 | Addig pedig, amíg megvirradt, Pál intette mindnyájukat, hogy egyenek: Ma a tizennegyedik napja, amióta folyton étlen várakoztok és semmit sem ettetek.
Acts.27.34 | Figyelmeztetlek azért titeket, hogy egyetek, mert ez javatokra szolgál. Mert közületek senkinek sem vész el egy hajszál sem a fejéről.
Acts.27.35 | Miután pedig ezeket mondta és kenyeret vett a kezébe, hálát adott Istennek mindnyájuk előtt, megtörte azt, és enni kezdett.
Acts.27.36 | Ekkor mindnyájan nekibátorodva, szintén ettek.
Acts.27.37 | Lélekszám szerint pedig összesen kétszázhetvenhatan voltunk a hajóban.
Acts.27.38 | Miután pedig eleget ettek, könnyítettek a hajón, és a gabonát kihányták a tengerbe.
Acts.27.39 | Mikor pedig megvirradt, nem ismerték fel a szárazföldet, de egy öblöt vettek észre, amelynek lapos partja volt. Úgy döntöttek, hogy erre futtatják rá a hajót, ha bírják.
Acts.27.40 | A horgonyokat tehát köröskörül elvagdalva, a tengerben hagyták, egyszersmind a kormányrúd köteleit is megoldták és felvonva a nagy vitorlát a szélfúvás elé, igyekeztek a part felé haladni.
Acts.27.41 | Eközben egy földnyelvhez értek, és arra hajtották rá a hajót, amelynek eleje befúródva mozdulatlanul ott maradt, hátsó része azonban az erős hullámveréstől szétroncsolódott.
Acts.27.42 | A katonák pedig azon tanakodtak, hogy a foglyokat leölik, hogy senki úszással el ne menekülhessen.
Acts.27.43 | "De a százados meg akarta menteni Pált és ezért megakadályozta őket e szándékukban és megparancsolta, hogy először azok ugorjanak a tengerbe, akik úszni tudnak és meneküljenek ki a szárazföldre;"
Acts.27.44 | azután a többiek is, ki deszkákon, ki a hajó egyéb darabjain. Így történt, hogy mindnyájan szerencsésen kimenekültek a szárazföldre.

Acts.28.1 | És miután szerencsésen megmenekültünk, megtudtuk, hogy ezt a szigetet Máltának hívják.
Acts.28.2 | A barbárok pedig nem közönséges jó indulattal voltak irántunk, mert tüzet rakva, befogadtak mindnyájunkat a beálló eső és hideg ellen,
Acts.28.3 | Mikor pedig Pál nagy nyaláb rőzsét gyűjtött és a tűzre tette, egy vipera a melegből kimászva, megmarta és a kezére ragadt.
Acts.28.4 | Amint a barbárok meglátták a kezéről lecsüngő mérges kígyót, ezt mondták egymásnak: Ez az ember bizonyosan gyilkos, akit nem hagy élni a bosszúállás, noha a tengerből megszabadult.
Acts.28.5 | Ő azonban a kígyót belerázta a tűzbe és semmi baja sem lett.
Acts.28.6 | Azok pedig vártak, hogy megdagad, vagy hirtelen holtan rogy össze. Mikor azonban jóidéig várták és látták, hogy semmi baja sem lesz, megváltoztatták véleményüket, és istennek mondták őt.
Acts.28.7 | Annak a helynek környékén volt pedig a sziget főemberének, név szerint Publiusnak majorja, ő befogadott és három napig nagyon barátságosan vendégül látott minket.
Acts.28.8 | Történt pedig, hogy Publius atyja hideglelésben és vérhasban betegen feküdt. Pál bement hozzá s miután könyörgött, kezeit rátette és meggyógyította.
Acts.28.9 | Ennek megtörténte után mások is, akik betegek voltak a szigeten, eljöttek hozzá és meggyógyultak.
Acts.28.10 | Ezek nagy tisztességgel bántak velünk és mikor elindultunk, elláttak a szükségesekkel.
Acts.28.11 | Három hónap múlva azután útnak indultunk egy alexandriai hajón, amely a szigeten telelt s amelynek címere Kásztor és Pollux volt.
Acts.28.12 | És mikor Szirakuzába értünk, ott maradtunk három napig.
Acts.28.13 | Onnét a partot körül hajózva, Régiumba jutottunk és miután egy nap déli szél támadt, másnap megérkeztünk Puteoliba.
Acts.28.14 | Itt atyafiakra találtunk, akik kértek minket, hogy maradjunk náluk hat napig. Így értünk Rómába.
