John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.21.14 | Ezzel háromszor jelentetett meg Jézus az ő tanitványinak, minekutánna feltámadott volna a halálból.
John.21.15 | Minekutánna azuért eébdeltek volna, monda Simon Péternek Jézus: Simon, Jónának fija, szeretsz-é engemet ezeknél inkább? Monda néki: Úgy Uram, te tudod, hogy szeretlek téged! Monda néki: Legeltesd az én bárányimat!
John.21.16 | Monda néki ismét másodszor is: Simon, Jónának fija, szeretsz-é engemet? Monda néki: Úgy Uram! te tudod hogy szeretlek téged! Monda néki: Legeltesd az én juhaimat.
John.21.17 | Monda néki harmadszor is: Simon, Jónának fija, szeretsz-é engemet? Megszomorodék Péter, hogy harmadszor is mondotta volna néki: Szeretsz-é engemet? És monda néki: Ura, te mindeneket tudsz, te tudod, hogy szeretlek tégedet! Monda néki Jézus: Legeltesd az én juhaimat!
John.21.18 | Bizony bizony mondom néked, mikor ijfabb volnál, béövedzed vala magadat, és oda mégy vala, a hová akarod; mikor pedig megvénheszel, a te kezeidet kiterjeszted; és más övedz bé tégedet; és oda viszen, a hová nem akarnád;
John.21.19 | Ezt pedig mondá, jelentvén micsoda halállal dicsőitené meg az Istent. És mikor ezt mondotta volna, monda néki: Kövess engemet.
John.21.20 | Hátrafordulván Péter, látá hogy ama tanitvány, ki is elnyugodt vala ama vacsorán az ő mejjén, és megkérdette vala: Uram! kicsoda az, a ki téged elárul?
John.21.21 | Ezt azért mikor látta volna Péter, monda Jézusnak: Uram! Ez pedig mint lészen?
John.21.22 | Monda néki Jézus: Ha akarnám is őtet megmaradni mind adig is mig eljövök, mit gondolnál vele? te kövess engemet
John.21.23 | Kiméne azért e beszéd az atyafiak közzé, hogy az ő tanitvány nem halna meg; holott nem mondotta vala néki azt Jézus, hogy meg nem hal, hanem ezt: Ha akarnám is őtet megmaradni mind addig is mig eljövök, mit gondolnál vele?
John.21.24 | Ez az a tanitvány, a ki ezekről bizonyságot tészen és ezeket irta; és tudjuk, hogy igaz az ő bizonyságtétele.
John.21.25 | Egyebek is pedig sokak vagynak, mellyeket Jézus cselekedett, mellyek ha egyenként megirattatnának, azt vélem, hogy e világ sem foghatná bé a könyveket, a mellyek irattatnának. Ámen.
